start month,start year,end month,end year,Lamas num,case num,road num,road name,semel yishuv,shem yishuv,shem medaveach,sug slila,road len,road width,road area,road type,way type
2,2009,3,2009,8301,0 0,0,כביש 40 יןרד,9999,כביש בין ישובים,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",שיקום כביש,916,7,6412,מצופה אספלט,ראשית
9,2009,10,2009,8464,68 9,0,כביש 585,9999,כביש בין ישובים,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",שיקום כביש,2600,9,23920,מצופה אספלט,אזורית
12,2012,5,2013,10860,0 0,0,מוקביילה 16+7,635,מוקייבלה,מועצה אזורית הגלבוע,שיקום כביש,1500,8,12000,מצופה אספלט,עירונית
4,1998,4,1998,2574,0 0,0,השקדים,9500,קריית ביאליק,עיריית קרית ביאליק,שיקום כביש,185,5,925,מצופה אספלט,עירונית
1,2008,9,2008,7939,0 0,0,הלוחמים,6600,חולון,עיריית חולון,שיקום כביש,410,9,3690,מצופה אספלט,עירונית
9,1997,9,1997,2771,365 0,0,רשי,8300,ראשון לציון,עיריית ראשון לציון,שיקום כביש,100,8,800,מצופה אספלט,עירונית
12,2020,7,2021,18932,4600005673,70,,0,,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",הרחבת כביש,600,37,22200,מצופה אספלט,ראשית
1,2015,1,2015,12609,0 0,0,שמואל הנביא,8500,רמלה,עיריית רמלה,הרחבה ושיקום,120,8,960,מצופה אספלט,עירונית
5,2006,5,2006,6909,0 0,0,המלאכה,8600,רמת גן,עיריית רמת גן,שיקום כביש,185,7,1202,מצופה אספלט,גישה
5,1994,12,1997,442,0 0,0,דרך הדרום,2630,קריית גת,עיריית קרית גת,הרחבת כביש,1400,7,9800,מצופה אספלט,אזורית
2,2022,2,2022,20544,4600004887,3924,,0,,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",שיקום כביש,82,4,295,מצופה אספלט,אזורית
12,2021,12,2021,20314,4600005612,71,,0,,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",שיקום כביש,1300,12,14912,מצופה אספלט,אזורית
10,2008,1,2012,8358,40 0,0,"עוקף ב""ש מזרחי",9999,כביש בין ישובים,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",הרחבה ושיקום,23000,8,180090,מצופה אספלט,ראשית
10,1996,12,1996,2662,3 0,0,יהודה הלוי,2800,קריית שמונה,עיריית קריית שמונה,שיקום כביש,777,9,6993,מצופה אספלט,גישה
12,2003,2,2004,5451,0 0,0,לסל,6900,כפר סבא,עיריית כפר-סבא,סלילת כביש,70,4,280,מצופה אספלט,עירונית
10,1998,7,1999,3024,375 0,0,צ'ביתר צור הדסה,9999,כביש בין ישובים,,הרחבת כביש,4000,14,56000,מצופה אספלט,אזורית
9,2009,9,2009,8425,0 0,0,דרך גישה לבית העלמין,1061,נצרת עילית,עיריית נוף הגליל,הרחבה ושיקום,650,92,59813,מצופה אספלט,עירונית
8,2022,8,2022,21490,4600004883,2,,0,,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",שיקום כביש,743,4,2972,מצופה אספלט,אזורית
12,2022,12,2022,20905,,0,אבן גבירול,7800,פרדס חנה-כרכור,מועצה מקומית פרדס חנה כרכור,הרחבה ושיקום,160,10,1600,מצופה אספלט,עירונית
6,2009,6,2009,8325,0 0,0,לנדרס,8600,רמת גן,עיריית רמת גן,סלילת כביש,45,21,945,מצופה אספלט,עירונית
1,2002,1,2002,4191,0 0,0,עמינדב,5000,תל אביב -יפו,עיריית תל-אביב יפו,שיקום כביש,150,10,1470,מצופה אספלט,גישה
1,1999,3,1999,1438,0 0,0,כביש א,7200,נס ציונה,עיריית נס ציונה,סלילת כביש,300,7,2100,מצופה אספלט,אזורית
6,1997,7,1997,4022,0 0,0,להב,9999,כביש בין ישובים,,סלילת כביש,1500,4,6000,מצופה אספלט,גישה
1,2015,7,2015,13055,19 2013,0,דן,449,נחלים,מועצה אזורית חבל מודיעין,הרחבה ושיקום,900,7,6120,מצופה אספלט,עירונית
6,2013,8,2013,11234,0 0,0,כרכור השופטים,7800,פרדס חנה-כרכור,מועצה מקומית פרדס חנה כרכור,שיקום כביש,525,5,2783,מצופה אספלט,עירונית
5,2023,7,2023,21992,,0,סארה,975,זרזיר,מועצה מקומית זרזיר,סלילת כביש,560,5,2800,מצופה אספלט,גישה
1,2014,2,2014,11798,9922 0 ג,106,כפר מנדא,510,כפר מנדא,מועצה מקומית כפר מנדא,סלילת כביש,130,6,780,מצופה אספלט,עירונית
2,2014,11,2015,13022,27 14,0,כביש עוקף שכונה,586,מגידו,מועצה אזורית מגידו,סלילת כביש,100,8,800,מצופה אספלט,עירונית
